set A := A B C D E F G H I J K L M N O P Q R S T U V X Z AA AB AC AD AE AF AG AH AI AJ AK AL AM AN AO AP AQ AR AS AT AU AV AX AZ;

param RetMat: A B C D E F G H I J K L M N O P Q R S T U V X Z AA AB AC AD AE AF AG AH AI AJ AK AL AM AN AO AP AQ AR AS AT AU AV AX AZ :=
1	0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812 0.1383	0.2228	0.1845	-0.0812
2 	-0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574 -0.2029	-0.2019	-0.2079	-0.0574
3 	-0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923 -0.0649	0.1580 	0.1593	0.1923
4 	0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344 0.0038	0.3695	0.1265	0.0344
5 	-0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462 -0.0599	-0.1357	0.1045	0.0462
6 	-0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398 -0.1795	-0.0904	-0.0654	0.0398
7 	-0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862 -0.4472	-0.3103	-0.1995	-0.0862
8 	0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891 0.0072	0.1483	0.2308	0.0891
9 	0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425 0.6517	0.1258	0.1024	0.0425
10 	-0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479 -0.1539	-0.2361	0.0522	0.1479
